location,area,bedrooms,bathrooms,parking,property_age,floors,price
Gajuwaka,4375,5,4,2,17,1,16928000
Madhurawada,965,2,2,0,22,2,3763000
Pendurthi,1881,3,3,1,9,1,6650000
Rushikonda,1625,3,2,2,22,2,8652000
Yendada,1923,3,3,1,11,4,10423000
Sujathanagar,1459,3,3,2,9,2,6455000
MVP Colony,1866,3,3,1,4,2,12979000
Sujathanagar,1982,3,3,1,17,4,7837000
Yendada,1880,3,2,1,5,2,9936000
MVP Colony,1171,2,2,0,1,1,7885000
Rushikonda,1472,3,3,2,14,2,8416000
Gajuwaka,2401,4,4,2,16,4,10494000
MVP Colony,1764,3,3,1,12,1,12090000
Yendada,734,1,1,1,19,1,3491000
Rushikonda,1156,2,2,0,2,2,7059000
Yendada,1333,3,3,2,12,1,7136000
MVP Colony,3112,4,4,2,19,3,18449000
Muralinagar,1617,3,3,2,0,2,8649000
Pendurthi,2803,4,4,2,2,2,10869000
Pendurthi,2738,4,4,3,8,3,9911000
Gajuwaka,678,1,1,0,15,1,2306000
Seethammadhara,1727,3,2,1,0,1,11965000
Gajuwaka,1958,3,3,1,11,1,7608000
MVP Colony,715,1,1,0,5,2,5235000
MVP Colony,1004,2,2,1,12,3,6775000
Rushikonda,1008,2,2,1,20,2,5585000
Madhurawada,1935,3,3,2,14,3,8329000
Gajuwaka,3359,5,4,2,14,2,13913000
Yendada,969,2,2,0,10,2,5104000
Madhurawada,921,2,2,1,22,1,3655000
Siripuram,1431,3,2,1,14,4,11441000
Pendurthi,1617,3,2,2,3,2,6531000
Madhurawada,1867,3,3,1,12,4,9244000
Madhurawada,1290,2,2,0,2,4,6070000
Seethammadhara,885,2,2,1,7,1,6116000
Gajuwaka,1577,3,2,1,4,1,6564000
Yendada,1479,3,3,1,16,4,7442000
Siripuram,1571,3,3,1,21,4,11320000
MVP Colony,1562,3,2,2,14,2,10387000
Yendada,1484,3,3,2,20,2,7901000
Yendada,1726,3,3,1,24,2,7522000
Siripuram,1428,3,3,1,18,1,10304000
Pendurthi,1232,2,2,1,20,3,4082000
Seethammadhara,2022,3,3,2,23,1,11635000
Madhurawada,1365,3,3,2,15,2,6100000
Pendurthi,1409,3,3,1,16,1,4925000
Madhurawada,4702,5,4,2,19,3,18960000
Yendada,1062,2,2,2,22,1,5398000
Rushikonda,1658,3,2,1,16,1,8240000
Siripuram,1108,2,2,1,9,1,9215000
Pendurthi,1218,2,2,0,5,1,4144000
Madhurawada,634,1,1,0,12,2,2718000
Sujathanagar,1207,2,2,0,23,2,3777000
Siripuram,2315,4,3,3,19,3,18480000
Seethammadhara,1726,3,3,1,16,1,11192000
MVP Colony,1287,2,2,0,1,2,9735000
Yendada,625,1,1,0,14,2,3025000
Rushikonda,1226,2,2,1,21,2,6660000
Muralinagar,1102,2,2,1,20,1,4523000
Madhurawada,1195,2,2,2,18,2,5587000
Pendurthi,1086,2,2,1,7,1,3828000
Seethammadhara,1688,3,3,2,8,2,11082000
Muralinagar,1451,3,2,1,15,3,6662000
Gajuwaka,568,1,1,0,4,2,2248000
Gajuwaka,956,2,2,1,4,1,4334000
Muralinagar,927,2,2,1,4,1,4658000
Gajuwaka,3071,4,3,2,16,1,12004000
Yendada,1295,2,2,1,14,4,6662000
Seethammadhara,1352,3,3,1,11,1,9079000
MVP Colony,1220,2,2,1,8,1,8358000
Sujathanagar,1463,3,3,1,11,1,5688000
Yendada,955,2,2,0,0,4,5794000
Gajuwaka,2097,3,3,1,0,1,10015000
Madhurawada,1890,3,3,1,11,2,8282000
MVP Colony,1085,2,1,1,3,2,7904000
Seethammadhara,1107,2,1,1,21,1,6609000
Yendada,1508,3,2,1,20,2,7177000
Madhurawada,526,1,1,0,21,3,2111000
Seethammadhara,1877,3,2,2,16,2,12297000
Madhurawada,910,2,2,1,3,2,4538000
MVP Colony,857,2,2,1,22,1,5329000
Yendada,1850,3,3,1,18,2,9150000
Siripuram,1715,3,3,1,21,1,12452000
Gajuwaka,894,2,2,0,2,3,4303000
Rushikonda,1477,3,3,1,7,1,8924000
Madhurawada,1334,3,3,1,20,2,5263000
MVP Colony,1375,3,2,1,20,3,8991000
MVP Colony,3044,4,4,3,2,1,22388000
Rushikonda,1055,2,1,1,0,2,6906000
Madhurawada,1632,3,3,1,3,2,8258000
Yendada,2413,4,4,2,22,2,10392000
Siripuram,1234,2,2,2,13,2,9562000
Yendada,1183,2,2,1,7,2,6549000
Muralinagar,1240,2,1,1,10,3,5750000
Gajuwaka,1763,3,2,1,9,2,7201000
MVP Colony,1939,3,2,1,4,1,13553000
Madhurawada,1626,3,2,2,13,1,7435000
MVP Colony,1046,2,2,1,24,2,6361000
Siripuram,1205,2,1,1,11,1,9359000
Pendurthi,1982,3,2,1,7,2,7348000
Seethammadhara,1072,2,2,1,9,1,7365000
Madhurawada,2331,4,3,1,2,3,11751000
Yendada,1503,3,2,1,16,1,7616000
Gajuwaka,989,2,2,1,10,1,4139000
Madhurawada,1433,3,3,1,7,3,6561000
MVP Colony,996,2,2,1,13,4,6991000
Rushikonda,1228,2,1,2,8,2,7718000
Madhurawada,1719,3,3,1,0,1,8460000
MVP Colony,1150,2,2,0,8,2,8202000
Rushikonda,1362,3,2,1,8,1,8222000
MVP Colony,1066,2,2,1,22,1,6393000
MVP Colony,991,2,1,0,9,3,6900000
Rushikonda,1964,3,3,1,3,2,12844000
Seethammadhara,1252,2,2,1,11,2,8303000
Madhurawada,1235,2,2,1,0,2,6209000
Yendada,1169,2,2,1,13,1,5885000
Muralinagar,1375,3,3,2,8,2,7009000
Seethammadhara,1965,3,2,1,14,4,13774000
Seethammadhara,3153,4,4,2,5,2,22245000
MVP Colony,1773,3,3,1,13,1,10756000
Yendada,640,1,1,0,17,2,2981000
Gajuwaka,1064,2,1,1,0,2,4957000
MVP Colony,1403,3,3,1,4,1,9858000
Sujathanagar,1272,2,1,1,11,1,5083000
MVP Colony,1583,3,3,2,12,2,11398000
Madhurawada,663,1,1,0,13,1,2688000
Gajuwaka,1484,3,3,2,24,1,5607000
Muralinagar,1007,2,2,2,21,4,4808000
Gajuwaka,864,2,2,1,20,1,3572000
Muralinagar,865,2,2,2,8,3,4831000
Rushikonda,1010,2,1,1,22,4,5948000
Muralinagar,1379,3,3,2,16,1,6170000
MVP Colony,523,1,1,1,23,1,3049000
Sujathanagar,2385,4,4,3,18,2,8999000
Madhurawada,941,2,2,1,9,3,4352000
Muralinagar,1945,3,3,1,20,2,8443000
Madhurawada,1166,2,2,1,9,4,5360000
Yendada,2056,3,3,1,18,2,9942000
Madhurawada,1647,3,3,2,21,2,6434000
Gajuwaka,673,1,1,0,2,1,2663000
MVP Colony,878,2,2,1,13,3,6194000
MVP Colony,1032,2,2,0,15,2,6841000
Siripuram,1008,2,2,2,18,3,8144000
Seethammadhara,1755,3,3,1,10,2,11607000
Muralinagar,1544,3,2,1,7,4,7745000
Seethammadhara,643,1,1,1,22,2,3856000
Pendurthi,1090,2,2,1,0,4,4601000
Rushikonda,2048,3,2,2,11,1,11513000
Seethammadhara,1200,2,2,1,7,2,8179000
Gajuwaka,3100,4,4,3,4,2,13695000
Yendada,1227,2,2,1,1,3,7926000
Madhurawada,1155,2,1,0,12,1,4688000
Madhurawada,3043,4,4,3,18,4,12426000
Gajuwaka,1973,3,3,1,0,3,9002000
Siripuram,559,1,1,1,14,3,4634000
Pendurthi,1575,3,3,1,7,1,5614000
Pendurthi,1213,2,2,1,0,2,4623000
Yendada,1059,2,2,1,12,2,5443000
Seethammadhara,997,2,1,1,8,2,6526000
Yendada,1521,3,3,1,13,1,8502000
MVP Colony,2067,3,3,1,7,1,13902000
MVP Colony,1033,2,2,1,3,2,8378000
Siripuram,1383,3,3,1,6,1,11955000
Madhurawada,1198,2,1,1,17,2,4919000
Muralinagar,2007,3,3,1,20,1,7823000
Gajuwaka,1250,2,1,1,6,3,5446000
Gajuwaka,1127,2,2,0,19,2,4348000
Madhurawada,1105,2,1,1,5,2,5128000
Rushikonda,2689,4,4,2,5,2,16694000
Rushikonda,984,2,2,1,2,3,7241000
Pendurthi,2094,4,4,1,20,1,6758000
MVP Colony,964,2,2,1,7,1,7066000
Muralinagar,1093,2,1,1,6,2,5545000
Madhurawada,1602,3,2,1,12,4,6250000
Madhurawada,1424,3,3,1,17,1,5619000
Gajuwaka,2775,4,3,2,8,2,11300000
Madhurawada,1407,3,3,1,7,3,7111000
Muralinagar,1382,3,3,1,24,1,5557000
Sujathanagar,1406,3,3,1,8,1,5824000
Madhurawada,555,1,1,1,13,3,2728000
Siripuram,1205,2,2,1,12,4,8995000
Yendada,1295,2,2,1,18,4,6548000
Sujathanagar,1004,2,1,1,16,3,3807000
Seethammadhara,1184,2,2,1,24,1,6092000
Yendada,1174,2,1,2,13,1,6086000
Yendada,1117,2,2,1,22,3,5515000
Gajuwaka,1255,2,2,1,10,3,5653000
Seethammadhara,2350,4,4,2,11,1,14598000
Gajuwaka,2560,4,3,3,23,2,9730000
Sujathanagar,903,2,2,1,15,1,3310000
Seethammadhara,1208,2,1,1,24,2,6883000
Siripuram,1707,3,3,1,11,3,14217000
Pendurthi,983,2,2,1,5,2,3804000
Seethammadhara,1796,3,3,1,7,2,12308000
Muralinagar,1367,3,2,1,13,3,6245000
Madhurawada,2093,3,3,1,6,3,9670000
Siripuram,2487,4,3,2,9,3,21471000
Muralinagar,1391,3,3,1,14,1,5847000
Madhurawada,1398,3,2,1,18,3,6044000
Madhurawada,1082,2,2,0,15,1,4479000
Rushikonda,3699,5,5,2,6,2,23380000
Yendada,573,1,1,0,24,2,2829000
Seethammadhara,1523,3,2,2,24,1,8443000
Rushikonda,1765,3,2,2,6,3,10958000
Pendurthi,1093,2,2,0,12,2,3657000
Siripuram,1658,3,3,1,20,3,11867000
Yendada,1799,3,3,2,3,3,10513000
Rushikonda,2422,4,4,1,15,4,15207000
Gajuwaka,1561,3,3,1,6,2,6761000
Seethammadhara,4169,5,5,2,6,3,30344000
Pendurthi,1793,3,2,1,8,1,5865000
Madhurawada,571,1,1,1,21,2,2202000
Siripuram,2743,4,3,2,1,2,25044000
MVP Colony,1809,3,3,1,16,1,11747000
Seethammadhara,1731,3,3,1,18,1,9953000
Madhurawada,1485,3,3,2,12,1,6579000
Rushikonda,1218,2,1,0,14,2,6690000
Muralinagar,1745,3,2,1,24,2,7459000
Madhurawada,572,1,1,0,8,3,2659000
Siripuram,1130,2,2,1,8,3,9663000
Yendada,918,2,2,1,12,2,5389000
Gajuwaka,2084,4,4,2,2,2,9762000
Seethammadhara,1329,3,2,2,5,3,8954000
Seethammadhara,1320,3,3,1,24,2,7313000
MVP Colony,1951,3,3,2,19,1,12816000
Gajuwaka,2057,3,2,1,13,2,7697000
Yendada,1518,3,3,1,22,1,6967000
Madhurawada,4171,5,4,2,5,2,19529000
Muralinagar,4011,5,5,2,21,2,17238000
Muralinagar,985,2,1,1,10,4,5099000
Yendada,3071,4,3,1,11,4,17815000
Muralinagar,1764,3,3,1,14,1,7412000
Seethammadhara,1478,3,3,1,8,3,10292000
MVP Colony,1557,3,2,1,9,1,11423000
Siripuram,1632,3,3,2,10,2,13662000
MVP Colony,2942,4,4,1,4,2,21655000
Madhurawada,1484,3,3,2,17,1,5940000
Sujathanagar,1507,3,2,1,16,3,5570000
MVP Colony,1875,3,3,1,14,2,12093000
Seethammadhara,1197,2,2,2,8,3,8039000
Madhurawada,1155,2,2,1,15,2,5173000
Sujathanagar,1194,2,2,1,1,2,5039000
Rushikonda,1098,2,2,1,19,1,5536000
Madhurawada,1645,3,3,2,13,2,7442000
MVP Colony,1882,3,2,1,8,2,12216000
Seethammadhara,1380,3,2,1,6,2,9300000
Pendurthi,1599,3,2,1,24,1,4502000
Pendurthi,2341,4,3,1,12,3,7942000
MVP Colony,1165,2,1,2,13,3,8109000
Pendurthi,996,2,2,1,16,1,3288000
Yendada,1788,3,3,2,23,1,8088000
Muralinagar,531,1,1,1,0,1,2729000
Madhurawada,4033,5,5,2,7,2,18121000
Madhurawada,597,1,1,1,10,3,3043000
Madhurawada,2080,3,3,1,18,2,8934000
Yendada,595,1,1,0,7,2,3041000
Seethammadhara,2358,4,3,2,21,2,14391000
MVP Colony,1250,2,2,0,13,2,7907000
Rushikonda,673,1,1,0,20,4,3729000
Gajuwaka,930,2,2,1,1,2,4566000
Seethammadhara,1223,2,2,0,2,1,8543000
Yendada,944,2,2,1,8,2,5469000
Pendurthi,1805,3,2,1,20,3,5130000
MVP Colony,1017,2,1,0,0,2,7617000
Yendada,1165,2,2,0,20,3,5449000
Madhurawada,1493,3,3,1,24,1,5325000
Muralinagar,1738,3,3,2,12,2,8566000
Seethammadhara,1156,2,2,0,15,2,7406000
Yendada,1468,3,3,2,20,4,7688000
Muralinagar,1564,3,3,2,20,3,7211000
Pendurthi,603,1,1,0,16,1,1874000
Yendada,2388,4,3,2,10,1,12731000
Madhurawada,1335,3,3,1,1,2,6707000
Yendada,1059,2,1,1,13,3,5510000
Muralinagar,867,2,2,1,11,2,4097000
Madhurawada,1782,3,2,2,18,2,7635000
MVP Colony,1593,3,3,1,11,3,10547000
Sujathanagar,1805,3,3,1,18,2,6791000
Yendada,1332,3,3,1,17,1,6660000
Yendada,1479,3,3,1,4,1,7658000
Seethammadhara,1416,3,3,1,10,2,9142000
Yendada,964,2,1,0,6,1,5199000
Rushikonda,2082,3,3,1,17,1,10179000
Yendada,872,2,2,1,18,1,4230000
MVP Colony,694,1,1,0,6,1,4928000
Yendada,1856,3,3,2,10,4,10568000
Pendurthi,2010,4,3,3,14,4,7102000
MVP Colony,1511,3,2,2,0,2,11305000
Pendurthi,1527,3,3,1,4,2,5982000
Madhurawada,1035,2,2,0,9,1,4338000
Muralinagar,1276,2,1,1,23,3,5267000
Gajuwaka,1719,3,3,1,11,2,7315000
Madhurawada,1145,2,2,0,24,1,3981000
Gajuwaka,2074,3,3,2,14,2,8598000
Muralinagar,2210,4,4,2,18,1,9945000
Madhurawada,1452,3,2,1,21,4,6116000
Rushikonda,1115,2,2,1,9,1,6548000
Yendada,1352,3,3,1,24,1,6266000
Muralinagar,1983,3,2,1,12,2,9260000
Gajuwaka,2047,3,3,1,19,1,7117000
Gajuwaka,954,2,2,1,11,2,4007000
Madhurawada,1984,3,2,2,17,1,8248000
Muralinagar,1681,3,3,2,4,2,8564000
Seethammadhara,974,2,2,0,17,1,5606000
Madhurawada,1207,2,1,1,20,3,4865000
MVP Colony,1253,2,1,1,6,1,8725000
Rushikonda,1718,3,3,1,8,2,9977000
Rushikonda,1830,3,3,1,12,2,9629000
Rushikonda,1441,3,3,1,18,4,8298000
Yendada,567,1,1,0,19,1,2588000
Rushikonda,880,2,2,0,2,2,5028000
Madhurawada,2962,4,4,2,12,3,13818000
Siripuram,1249,2,2,1,3,4,11859000
Rushikonda,606,1,1,1,5,2,3792000
Siripuram,2589,4,4,2,23,2,17577000
MVP Colony,939,2,2,2,5,4,6922000
Yendada,977,2,1,1,16,2,5147000
Yendada,1448,3,2,2,14,2,7543000
Yendada,1506,3,2,2,17,2,7334000
Madhurawada,1021,2,1,1,5,2,4954000
Rushikonda,712,1,1,0,14,1,3933000
Muralinagar,3033,4,4,2,10,4,14968000
